algorithm_name,run_n,estate_n,solution_found
bfs,1,9293,True
dfs,1,2357,True
dls,1,2020,False
ucs,1,9292,True
bfs,2,5609,True
dfs,2,6962,True
dls,2,202,True
ucs,2,5608,True
bfs,3,6914,True
dfs,3,8957,True
dls,3,2869,False
ucs,3,6913,True
bfs,4,5380,True
dfs,4,4523,True
dls,4,1616,False
ucs,4,5379,True
bfs,5,6966,True
dfs,5,7977,True
dls,5,2595,False
ucs,5,6965,True
bfs,6,7859,True
dfs,6,8230,True
dls,6,1213,False
ucs,6,7858,True
bfs,7,5957,True
dfs,7,8005,True
dls,7,3265,False
ucs,7,5956,True
bfs,8,6456,True
dfs,8,3638,True
dls,8,1604,False
ucs,8,6455,True
bfs,9,3084,True
dfs,9,1325,True
dls,9,606,False
ucs,9,3083,True
bfs,10,2309,True
dfs,10,6289,True
dls,10,1091,True
ucs,10,2308,True
bfs,11,1953,True
dfs,11,6322,True
dls,11,2250,True
ucs,11,1952,True
bfs,12,1823,True
dfs,12,3683,True
dls,12,1524,True
ucs,12,1822,True
bfs,13,2421,True
dfs,13,8294,True
dls,13,2439,False
ucs,13,2420,True
bfs,14,8317,True
dfs,14,4133,True
dls,14,2170,False
ucs,14,8316,True
bfs,15,1115,True
dfs,15,4870,True
dls,15,2405,False
ucs,15,1114,True
bfs,16,1036,True
dfs,16,6091,True
dls,16,1594,True
ucs,16,1035,True
bfs,17,7998,True
dfs,17,8191,True
dls,17,656,False
ucs,17,7997,True
bfs,18,6882,True
dfs,18,6903,True
dls,18,1236,False
ucs,18,6881,True
bfs,19,2948,True
dfs,19,5036,True
dls,19,1981,False
ucs,19,2947,True
bfs,20,5538,True
dfs,20,5509,True
dls,20,159,True
ucs,20,5537,True
bfs,21,240,True
dfs,21,3704,True
dls,21,2080,True
ucs,21,239,True
bfs,22,7537,True
dfs,22,7476,True
dls,22,2383,False
ucs,22,7536,True
bfs,23,8485,True
dfs,23,2153,True
dls,23,2676,False
ucs,23,8484,True
bfs,24,7950,True
dfs,24,4366,True
dls,24,3228,False
ucs,24,7949,True
bfs,25,3433,True
dfs,25,3647,True
dls,25,2464,False
ucs,25,3432,True
bfs,26,6655,True
dfs,26,2949,True
dls,26,3277,False
ucs,26,6654,True
bfs,27,6157,True
dfs,27,6090,True
dls,27,2068,False
ucs,27,6156,True
bfs,28,8389,True
dfs,28,8269,True
dls,28,2807,False
ucs,28,8388,True
bfs,29,1435,True
dfs,29,262,True
dls,29,152,True
ucs,29,1434,True
bfs,30,4083,True
dfs,30,2160,True
dls,30,1852,True
ucs,30,4082,True